Order ID,Customer Name,Region,City,Location,Category,Sub-Category,Product Name,Quantity,Unit Price,Discount,Sales,Profit,Payment Mode,Revenue,Profit Margin%,Discount Category,
10025,Lakshay Ramakrishnan,North,Chandigarh,North - Chandigarh,Electronics,Headphones,Headphones Itaque,5,24056,20,96224,20551.56,COD,96224,21.00%,High Discount,
10026,Dhanush Vaidya,South,Chennai,South - Chennai,Groceries,Rice,Rice Impedit,2,65756,5,124936.4,19544.76,UPI,124936.4,16.00%,Low Discount,
10027,Kimaya Rege,North,Lucknow,North - Lucknow,Beauty,Foundation,Foundation Illo,1,8276,0,8276,537.47,Net Banking,8276,6.00%,No Discount,
10028,Anika Wable,East,Bhubaneswar,East - Bhubaneswar,Furniture,Table,Table Error,3,731,0,2193,214.1,UPI,2193,10.00%,No Discount,
10029,Kavya Bhatnagar,North,Delhi,North - Delhi,Toys,RC Car,RC Car Amet,2,67085,20,107336,22034.77,Net Banking,107336,21.00%,High Discount,
10030,Adira Seshadri,North,Chandigarh,North - Chandigarh,Groceries,Sugar,Sugar Excepturi,5,79453,15,337675.25,80309.87,Debit Card,337675.25,24.00%,Medium Discount,
10031,Zaina Sidhu,West,Goa,West - Goa,Groceries,Wheat,Wheat Consequuntur,2,25545,10,45981,9818.01,Credit Card,45981,21.00%,Medium Discount,
10032,Bhamini Kuruvilla,North,Jaipur,North - Jaipur,Sports,Cricket Bat,Cricket Bat Voluptatum,4,76643,5,291243.4,40522.22,UPI,291243.4,14.00%,Low Discount,
10033,Kavya Saran,West,Ahmedabad,West - Ahmedabad,Furniture,Sofa,Sofa Deleniti,4,60561,20,193795.2,21970.55,Net Banking,193795.2,11.00%,High Discount,
10034,Mannat Batta,East,Guwahati,East - Guwahati,Toys,RC Car,RC Car Quam,4,19080,20,61056,10008.03,Debit Card,61056,16.00%,High Discount,
10035,Shayak Bala,South,Thiruvananthapuram,South - Thiruvananthapuram,Toys,Action Figure,Action Figure Laboriosam,2,48271,20,77233.6,13625.93,Net Banking,77233.6,18.00%,High Discount,
10036,Hrishita Kumer,South,Thiruvananthapuram,South - Thiruvananthapuram,Beauty,Lipstick,Lipstick Accusantium,4,7232,15,24588.8,4643.94,Credit Card,24588.8,19.00%,Medium Discount,
10037,Prisha Gaba,West,Surat,West - Surat,Sports,Dumbbells,Dumbbells Quas,2,78467,0,156934,9444.77,Credit Card,156934,6.00%,No Discount,
10038,Arhaan Gole,North,Lucknow,North - Lucknow,Sports,Yoga Mat,Yoga Mat Quaerat,4,34124,5,129671.2,8392.19,UPI,129671.2,6.00%,Low Discount,
10039,Shaan Bala,East,Ranchi,East - Ranchi,Toys,Puzzle,Puzzle Assumenda,2,60907,0,121814,24378.77,COD,121814,20.00%,No Discount,
10040,Taran Kala,North,Lucknow,North - Lucknow,Kitchen,Refrigerator,Refrigerator Libero,5,9102,10,40959,7785.75,Debit Card,40959,19.00%,Medium Discount,
10041,Nitara Hayre,East,Guwahati,East - Guwahati,Toys,Board Game,Board Game Consequuntur,5,76782,20,307128,47122.1,UPI,307128,15.00%,High Discount,
10042,Lavanya Tata,North,Amritsar,North - Amritsar,Toys,Doll,Doll Laborum,5,57559,5,273405.25,26969.18,Debit Card,273405.25,10.00%,Low Discount,
10043,Badal Dada,West,Surat,West - Surat,Electronics,Camera,Camera A,2,68630,0,137260,16783.04,Net Banking,137260,12.00%,No Discount,
10044,Bhamini Sane,South,Coimbatore,South - Coimbatore,Groceries,Rice,Rice Incidunt,5,64105,20,256420,61655.17,Net Banking,256420,24.00%,High Discount,
10045,Eva Babu,East,Guwahati,East - Guwahati,Books,Textbook,Textbook Consequuntur,2,68202,0,136404,33860.63,Debit Card,136404,25.00%,No Discount,
10046,Prerak Saha,West,Pune,West - Pune,Books,Biography,Biography Magni,1,36207,15,30775.95,5230.85,COD,30775.95,17.00%,Medium Discount,
10047,Advik Sule,North,Delhi,North - Delhi,Beauty,Perfume,Perfume Quisquam,3,55843,10,150776.1,23835.95,Credit Card,150776.1,16.00%,Medium Discount,
10048,Divij Chawla,West,Surat,West - Surat,Sports,Tennis Racket,Tennis Racket Sapiente,5,60512,5,287432,41217.09,Credit Card,287432,14.00%,Low Discount,
10049,Nirvaan Ben,North,Delhi,North - Delhi,Toys,Puzzle,Puzzle Dolorem,1,70834,10,63750.6,4232.48,UPI,63750.6,7.00%,Medium Discount,
10050,Shlok Dayal,West,Ahmedabad,West - Ahmedabad,Clothing,Shoes,Shoes Deleniti,1,33485,0,33485,6131.25,COD,33485,18.00%,No Discount,
10051,Vritika Cherian,East,Patna,East - Patna,Beauty,Perfume,Perfume Rerum,5,8568,5,40698,3935.7,UPI,40698,10.00%,Low Discount,
10052,Eshani Arya,East,Ranchi,East - Ranchi,Furniture,Sofa,Sofa Omnis,4,64645,5,245651,51927.61,UPI,245651,21.00%,Low Discount,
10053,Elakshi Bajwa,West,Goa,West - Goa,Books,Biography,Biography Illum,5,12976,0,64880,11967.13,COD,64880,18.00%,No Discount,
10054,Jayant Kala,West,Pune,West - Pune,Clothing,Women's Wear,Women's Wear Odio,3,27698,20,66475.2,8946.95,UPI,66475.2,13.00%,High Discount,
10055,Biju Mannan,East,Bhubaneswar,East - Bhubaneswar,Sports,Tennis Racket,Tennis Racket Ea,2,28261,15,48043.7,10879.68,Debit Card,48043.7,23.00%,Medium Discount,
10056,Alisha Sampath,North,Jaipur,North - Jaipur,Furniture,Bed,Bed Molestias,5,42462,0,212310,11609.02,Net Banking,212310,5.00%,No Discount,
10057,Rhea Krishnamurthy,East,Patna,East - Patna,Home Decor,Wall Art,Wall Art Excepturi,4,62926,0,251704,40267.43,Credit Card,251704,16.00%,No Discount,
10058,Samarth Chatterjee,East,Patna,East - Patna,Toys,Puzzle,Puzzle Ut,4,73473,15,249808.2,56964.33,Net Banking,249808.2,23.00%,Medium Discount,
10059,Ojas Konda,West,Pune,West - Pune,Furniture,Cabinet,Cabinet Odit,3,29226,15,74526.3,17899.47,Net Banking,74526.3,24.00%,Medium Discount,
10060,Heer Saran,West,Mumbai,West - Mumbai,Home Decor,Vase,Vase Necessitatibus,2,9860,10,17748,4403.6,Credit Card,17748,25.00%,Medium Discount,
10061,Manikya Dar,West,Ahmedabad,West - Ahmedabad,Sports,Football,Football Eveniet,5,17665,0,88325,17529.47,UPI,88325,20.00%,No Discount,
10062,Azad Kunda,South,Chennai,South - Chennai,Kitchen,Cookware Set,Cookware Set Nisi,2,13751,15,23376.7,5552.74,Debit Card,23376.7,24.00%,Medium Discount,
10063,Drishya Apte,West,Pune,West - Pune,Kitchen,Juicer,Juicer Totam,5,11226,10,50517,2567.28,Debit Card,50517,5.00%,Medium Discount,
10064,Shray Arya,West,Pune,West - Pune,Toys,Action Figure,Action Figure Cum,4,70618,5,268348.4,50743.1,COD,268348.4,19.00%,Low Discount,
10065,Ritvik Madan,South,Bangalore,South - Bangalore,Books,Biography,Biography Nobis,3,37492,15,95604.6,19263.79,UPI,95604.6,20.00%,Medium Discount,
10066,Purab Batta,North,Chandigarh,North - Chandigarh,Kitchen,Juicer,Juicer Vero,2,34997,0,69994,11129.92,COD,69994,16.00%,No Discount,
10067,Purab Krishna,West,Surat,West - Surat,Kitchen,Mixer Grinder,Mixer Grinder Recusandae,2,71572,10,128829.6,14012.66,Credit Card,128829.6,11.00%,Medium Discount,
10068,Manikya Srinivasan,West,Goa,West - Goa,Books,Biography,Biography Ad,5,38936,5,184946,30144.65,COD,184946,16.00%,Low Discount,
10069,Raghav Gara,East,Bhubaneswar,East - Bhubaneswar,Home Decor,Vase,Vase Molestiae,1,19506,0,19506,2911.1,Net Banking,19506,15.00%,No Discount,
10070,Raghav Sabharwal,East,Ranchi,East - Ranchi,Sports,Tennis Racket,Tennis Racket At,5,48227,10,217021.5,52730.72,UPI,217021.5,24.00%,Medium Discount,
10071,Tanya Vora,South,Bangalore,South - Bangalore,Sports,Tennis Racket,Tennis Racket Ipsa,3,2697,5,7686.45,387.48,Net Banking,7686.45,5.00%,Low Discount,
10072,Mannat Dhaliwal,East,Ranchi,East - Ranchi,Toys,RC Car,RC Car Eius,4,47678,20,152569.6,13719.94,Debit Card,152569.6,9.00%,High Discount,
10073,Drishya Korpal,North,Chandigarh,North - Chandigarh,Home Decor,Cushion,Cushion Quis,1,39545,15,33613.25,4294.42,COD,33613.25,13.00%,Medium Discount,
10074,Vritika Gade,West,Pune,West - Pune,Toys,Puzzle,Puzzle Nesciunt,5,60787,15,258344.75,33333.56,Credit Card,258344.75,13.00%,Medium Discount,
10075,Neysa Ganguly,North,Amritsar,North - Amritsar,Toys,Action Figure,Action Figure Placeat,1,26035,20,20828,2957.26,Net Banking,20828,14.00%,High Discount,
10076,Adah Kaul,West,Ahmedabad,West - Ahmedabad,Clothing,Kids Wear,Kids Wear Aut,5,41865,10,188392.5,36655.65,COD,188392.5,19.00%,Medium Discount,
10077,Shalv Subramaniam,North,Lucknow,North - Lucknow,Kitchen,Cookware Set,Cookware Set Libero,4,76576,10,275673.6,39540.52,Net Banking,275673.6,14.00%,Medium Discount,
10078,Chirag Hans,South,Bangalore,South - Bangalore,Electronics,Camera,Camera Nostrum,2,33749,20,53998.4,6954.99,COD,53998.4,13.00%,High Discount,
10079,Saanvi Deshmukh,West,Pune,West - Pune,Kitchen,Refrigerator,Refrigerator Sequi,4,46014,15,156447.6,8166.96,UPI,156447.6,5.00%,Medium Discount,
10080,Yakshit Bajwa,West,Surat,West - Surat,Beauty,Lipstick,Lipstick At,5,55423,10,249403.5,15673.19,Debit Card,249403.5,6.00%,Medium Discount,
10081,Jayan Lall,South,Coimbatore,South - Coimbatore,Furniture,Cabinet,Cabinet Nobis,5,5463,5,25949.25,1306.37,Debit Card,25949.25,5.00%,Low Discount,
10082,Kashvi Bakshi,South,Hyderabad,South - Hyderabad,Sports,Yoga Mat,Yoga Mat Deserunt,1,4714,0,4714,547.63,COD,4714,12.00%,No Discount,
10083,Myra Goda,East,Ranchi,East - Ranchi,Sports,Tennis Racket,Tennis Racket Cupiditate,4,31170,10,112212,22964.29,Debit Card,112212,20.00%,Medium Discount,
10084,Jayesh Ramachandran,West,Goa,West - Goa,Home Decor,Vase,Vase Similique,1,8927,20,7141.6,1373.47,COD,7141.6,19.00%,High Discount,
10085,Hazel Reddy,East,Bhubaneswar,East - Bhubaneswar,Furniture,Cabinet,Cabinet Natus,1,16256,5,15443.2,1764.79,Credit Card,15443.2,11.00%,Low Discount,
10086,Shamik Keer,East,Guwahati,East - Guwahati,Toys,Board Game,Board Game Sequi,2,22240,0,44480,8602.03,UPI,44480,19.00%,No Discount,
10087,Saira Trivedi,West,Goa,West - Goa,Groceries,Oil,Oil Modi,3,62172,0,186516,23035.44,Debit Card,186516,12.00%,No Discount,
10088,Baiju Dube,North,Lucknow,North - Lucknow,Sports,Tennis Racket,Tennis Racket Aperiam,5,39458,5,187425.5,44132.79,COD,187425.5,24.00%,Low Discount,
10089,Ehsaan Butala,South,Thiruvananthapuram,South - Thiruvananthapuram,Books,Comics,Comics Voluptatibus,4,34376,5,130628.8,15353.38,Net Banking,130628.8,12.00%,Low Discount,
10090,Bhavin Toor,West,Mumbai,West - Mumbai,Clothing,Kids Wear,Kids Wear Ipsa,4,53084,15,180485.6,19220.42,Credit Card,180485.6,11.00%,Medium Discount,
10091,Romil Sawhney,East,Guwahati,East - Guwahati,Beauty,Lipstick,Lipstick Nostrum,3,60656,0,181968,26322.7,Debit Card,181968,14.00%,No Discount,
10092,Mamooty Mannan,North,Chandigarh,North - Chandigarh,Electronics,Camera,Camera Ipsa,1,73564,15,62529.4,13309.3,Credit Card,62529.4,21.00%,Medium Discount,
10093,Reyansh Saraf,East,Patna,East - Patna,Furniture,Sofa,Sofa Quaerat,5,26060,5,123785,24340.25,UPI,123785,20.00%,Low Discount,
10094,Jayesh Madan,South,Hyderabad,South - Hyderabad,Beauty,Perfume,Perfume Qui,4,72702,5,276267.6,35015.76,Debit Card,276267.6,13.00%,Low Discount,
10095,Kiaan Ranganathan,East,Patna,East - Patna,Electronics,Camera,Camera Temporibus,2,40818,20,65308.8,5824.16,UPI,65308.8,9.00%,High Discount,
10096,Riya Varughese,West,Pune,West - Pune,Groceries,Spices,Spices Reiciendis,3,24183,0,72549,17203.3,Credit Card,72549,24.00%,No Discount,
10097,Yasmin Warrior,East,Patna,East - Patna,Groceries,Oil,Oil Non,4,19526,15,66388.4,12866.73,Credit Card,66388.4,19.00%,Medium Discount,
10098,Vihaan Bhalla,West,Mumbai,West - Mumbai,Books,Fiction,Fiction Nemo,5,54037,0,270185,58810.96,Net Banking,270185,22.00%,No Discount,
10099,Eshani Sani,South,Thiruvananthapuram,South - Thiruvananthapuram,Sports,Yoga Mat,Yoga Mat Optio,5,63813,0,319065,36797.04,Credit Card,319065,12.00%,No Discount,
10100,Arnav Badami,North,Lucknow,North - Lucknow,Electronics,Mobile,Mobile Harum,3,74680,10,201636,41541.42,Credit Card,201636,21.00%,Medium Discount,
10101,Umang Virk,South,Coimbatore,South - Coimbatore,Clothing,Accessories,Accessories Natus,4,13189,10,47480.4,10986.33,Net Banking,47480.4,23.00%,Medium Discount,
10102,Ira Soni,East,Bhubaneswar,East - Bhubaneswar,Sports,Dumbbells,Dumbbells Quos,4,1138,10,4096.8,888.13,Credit Card,4096.8,22.00%,Medium Discount,
10103,Arnav Karpe,East,Ranchi,East - Ranchi,Furniture,Sofa,Sofa Repudiandae,5,76226,20,304904,22939.07,Credit Card,304904,8.00%,High Discount,
10104,Hansh Kaul,West,Surat,West - Surat,Toys,Doll,Doll Totam,3,31343,15,79924.65,18762.37,Net Banking,79924.65,23.00%,Medium Discount,
10105,Ela Srivastava,North,Lucknow,North - Lucknow,Home Decor,Lamp,Lamp Pariatur,4,61338,15,208549.2,40557.88,Net Banking,208549.2,19.00%,Medium Discount,
10106,Elakshi Sachdev,West,Mumbai,West - Mumbai,Furniture,Table,Table Laudantium,1,8623,20,6898.4,677.28,Debit Card,6898.4,10.00%,High Discount,
10107,Emir Ramanathan,South,Chennai,South - Chennai,Sports,Dumbbells,Dumbbells Aspernatur,3,41142,5,117254.7,7179.82,Net Banking,117254.7,6.00%,Low Discount,
10108,Prisha Shenoy,South,Coimbatore,South - Coimbatore,Clothing,Kids Wear,Kids Wear Architecto,5,13088,10,58896,11457.13,Debit Card,58896,19.00%,Medium Discount,
10109,Parinaaz Luthra,North,Jaipur,North - Jaipur,Furniture,Bed,Bed Officiis,1,44965,10,40468.5,3617.94,Debit Card,40468.5,9.00%,Medium Discount,
10110,Aarna Bandi,West,Goa,West - Goa,Toys,RC Car,RC Car Incidunt,4,28822,10,103759.2,25441.67,Net Banking,103759.2,25.00%,Medium Discount,
10111,Rasha Bansal,North,Amritsar,North - Amritsar,Electronics,Camera,Camera Dignissimos,2,30299,10,54538.2,10554.74,Credit Card,54538.2,19.00%,Medium Discount,
10112,Alisha Amble,North,Chandigarh,North - Chandigarh,Kitchen,Microwave,Microwave Vero,2,44595,20,71352,5019.37,Net Banking,71352,7.00%,High Discount,
10113,Aniruddh Ratti,South,Coimbatore,South - Coimbatore,Furniture,Table,Table Repudiandae,3,32301,20,77522.4,10882.22,Net Banking,77522.4,14.00%,High Discount,
10114,Ishita Bajwa,South,Bangalore,South - Bangalore,Home Decor,Cushion,Cushion Dignissimos,3,78217,0,234651,18949.32,COD,234651,8.00%,No Discount,
10115,Farhan Sarkar,South,Chennai,South - Chennai,Toys,Board Game,Board Game Earum,5,19154,15,81404.5,8267.53,COD,81404.5,10.00%,Medium Discount,
10116,Aniruddh Kothari,West,Pune,West - Pune,Kitchen,Juicer,Juicer In,4,25790,20,82528,4856.22,Debit Card,82528,6.00%,High Discount,
10117,Samar Kumar,East,Kolkata,East - Kolkata,Beauty,Lipstick,Lipstick Soluta,3,78010,10,210627,20117.45,UPI,210627,10.00%,Medium Discount,
10118,Ishaan Golla,East,Ranchi,East - Ranchi,Kitchen,Microwave,Microwave Aperiam,4,8753,5,33261.4,4190.2,UPI,33261.4,13.00%,Low Discount,
10119,Aniruddh Wagle,West,Surat,West - Surat,Kitchen,Microwave,Microwave Reiciendis,5,49477,20,197908,38220.91,Credit Card,197908,19.00%,High Discount,
10120,Nishith Tara,South,Coimbatore,South - Coimbatore,Sports,Yoga Mat,Yoga Mat Vel,1,54160,15,46036,9505.54,COD,46036,21.00%,Medium Discount,
10121,Yakshit Bakshi,South,Thiruvananthapuram,South - Thiruvananthapuram,Sports,Football,Football Eum,2,58592,5,111324.8,9680.25,Debit Card,111324.8,9.00%,Low Discount,
10122,Navya Amble,South,Hyderabad,South - Hyderabad,Electronics,Laptop,Laptop Amet,1,6284,0,6284,888.46,Debit Card,6284,14.00%,No Discount,
10123,Heer Lata,North,Delhi,North - Delhi,Groceries,Spices,Spices Non,4,79276,20,253683.2,28531.58,UPI,253683.2,11.00%,High Discount,
10124,Jiya Tandon,North,Jaipur,North - Jaipur,Clothing,Shoes,Shoes Recusandae,3,22072,20,52972.8,2832.75,Net Banking,52972.8,5.00%,High Discount,
10125,Divyansh Kale,North,Lucknow,North - Lucknow,Kitchen,Juicer,Juicer Deleniti,1,61175,15,51998.75,10749.96,Debit Card,51998.75,21.00%,Medium Discount,
10126,Raunak Raj,East,Patna,East - Patna,Books,Fiction,Fiction Necessitatibus,3,53034,15,135236.7,16863.94,Net Banking,135236.7,12.00%,Medium Discount,
10127,Mehul Magar,North,Lucknow,North - Lucknow,Groceries,Oil,Oil Laboriosam,3,20304,10,54820.8,8867.14,UPI,54820.8,16.00%,Medium Discount,
10128,Gatik Sharma,West,Ahmedabad,West - Ahmedabad,Home Decor,Cushion,Cushion Id,3,19607,0,58821,9062.46,UPI,58821,15.00%,No Discount,
10129,Dhanuk Dhar,North,Jaipur,North - Jaipur,Furniture,Table,Table Placeat,1,26827,10,24144.3,4041.1,Credit Card,24144.3,17.00%,Medium Discount,
10130,Kavya Varty,South,Bangalore,South - Bangalore,Groceries,Spices,Spices Error,5,31262,15,132863.5,12796.17,Credit Card,132863.5,10.00%,Medium Discount,
10131,Ishaan Walia,South,Hyderabad,South - Hyderabad,Electronics,Headphones,Headphones Id,4,61765,5,234707,30160.38,Net Banking,234707,13.00%,Low Discount,
10132,Oorja Sur,East,Patna,East - Patna,Clothing,Women's Wear,Women's Wear Ipsa,4,2962,20,9478.4,583.27,Credit Card,9478.4,6.00%,High Discount,
10133,Dharmajan Lall,East,Kolkata,East - Kolkata,Toys,Puzzle,Puzzle Placeat,3,17679,15,45081.45,2373.83,UPI,45081.45,5.00%,Medium Discount,
10134,Shanaya Kala,North,Chandigarh,North - Chandigarh,Furniture,Sofa,Sofa Nulla,1,79310,15,67413.5,6655.67,UPI,67413.5,10.00%,Medium Discount,
10135,Rati Goel,South,Chennai,South - Chennai,Electronics,Camera,Camera Culpa,4,33270,5,126426,12467.79,Debit Card,126426,10.00%,Low Discount,
10136,Ivan Sarna,West,Mumbai,West - Mumbai,Toys,Doll,Doll Adipisci,3,35928,5,102394.8,10207.76,Debit Card,102394.8,10.00%,Low Discount,
10137,Akarsh Hayre,East,Kolkata,East - Kolkata,Toys,Board Game,Board Game Animi,1,62438,5,59316.1,4810.78,UPI,59316.1,8.00%,Low Discount,
10138,Hrishita Bajaj,West,Surat,West - Surat,Furniture,Bed,Bed Accusantium,4,41162,0,164648,22384,Debit Card,164648,14.00%,No Discount,
10139,Prerak Shere,East,Guwahati,East - Guwahati,Electronics,Mobile,Mobile Aspernatur,4,78576,5,298588.8,66122.26,Credit Card,298588.8,22.00%,Low Discount,
10140,Kartik Seth,East,Patna,East - Patna,Books,Non-Fiction,Non-Fiction Quae,3,38456,5,109599.6,26199.38,Debit Card,109599.6,24.00%,Low Discount,
10141,Riya Brahmbhatt,South,Hyderabad,South - Hyderabad,Clothing,Kids Wear,Kids Wear Tempora,1,51518,10,46366.2,11129.47,UPI,46366.2,24.00%,Medium Discount,
10142,Yuvraj  Bhardwaj,North,Delhi,North - Delhi,Electronics,Mobile,Mobile Ea,3,25964,0,77892,7594.54,COD,77892,10.00%,No Discount,
10143,Shamik Buch,East,Patna,East - Patna,Furniture,Cabinet,Cabinet Voluptatum,5,38240,5,181640,26909.05,Debit Card,181640,15.00%,Low Discount,
10144,Divij Dara,South,Hyderabad,South - Hyderabad,Sports,Tennis Racket,Tennis Racket Asperiores,2,40778,0,81556,19814.83,COD,81556,24.00%,No Discount,
10145,Jivin Hans,East,Bhubaneswar,East - Bhubaneswar,Sports,Football,Football Dolores,5,22147,5,105198.25,7812.18,UPI,105198.25,7.00%,Low Discount,
10146,Vaibhav Rattan,South,Chennai,South - Chennai,Furniture,Table,Table Tenetur,1,48776,15,41459.6,9356.05,UPI,41459.6,23.00%,Medium Discount,
10147,Nayantara Kalita,West,Ahmedabad,West - Ahmedabad,Electronics,Smartwatch,Smartwatch Eum,2,74802,15,127163.4,8863.77,Net Banking,127163.4,7.00%,Medium Discount,
10148,Shaan Sehgal,North,Delhi,North - Delhi,Kitchen,Mixer Grinder,Mixer Grinder Porro,1,77440,20,61952,5189.49,UPI,61952,8.00%,High Discount,
10149,Dhruv Garg,East,Ranchi,East - Ranchi,Kitchen,Juicer,Juicer Reiciendis,1,42881,5,40736.95,3037.21,Net Banking,40736.95,7.00%,Low Discount,
10150,Kavya Lanka,West,Surat,West - Surat,Books,Non-Fiction,Non-Fiction Commodi,4,11205,10,40338,6759.61,UPI,40338,17.00%,Medium Discount,
10151,Fateh Tripathi,North,Jaipur,North - Jaipur,Toys,Puzzle,Puzzle Repellendus,4,67259,5,255584.2,24050.17,UPI,255584.2,9.00%,Low Discount,
10152,Manikya Bhattacharyya,South,Coimbatore,South - Coimbatore,Groceries,Spices,Spices Suscipit,3,21886,10,59092.2,14240.48,Net Banking,59092.2,24.00%,Medium Discount,
10153,Tiya Mani,North,Jaipur,North - Jaipur,Kitchen,Microwave,Microwave Officiis,3,8844,0,26532,3837.38,UPI,26532,14.00%,No Discount,
10154,Vihaan Loyal,West,Goa,West - Goa,Kitchen,Cookware Set,Cookware Set Quo,3,32484,5,92579.4,14375.96,COD,92579.4,16.00%,Low Discount,
10155,Ritvik Vyas,North,Jaipur,North - Jaipur,Home Decor,Clock,Clock Itaque,2,26027,5,49451.3,8546.38,UPI,49451.3,17.00%,Low Discount,
10156,Ivana Hegde,West,Surat,West - Surat,Beauty,Foundation,Foundation Nihil,4,43826,5,166538.8,17272.57,Credit Card,166538.8,10.00%,Low Discount,
10157,Vardaniya Ramaswamy,East,Patna,East - Patna,Toys,Action Figure,Action Figure Enim,1,39221,15,33337.85,2238.25,Debit Card,33337.85,7.00%,Medium Discount,
10158,Ela Chakraborty,North,Lucknow,North - Lucknow,Toys,RC Car,RC Car In,1,54312,0,54312,10936.17,Net Banking,54312,20.00%,No Discount,
10159,Taimur Tara,East,Ranchi,East - Ranchi,Clothing,Kids Wear,Kids Wear Aliquid,1,15748,0,15748,2754.67,COD,15748,17.00%,No Discount,
10160,Hrishita Chanda,West,Pune,West - Pune,Electronics,Headphones,Headphones Labore,2,68044,10,122479.2,10609.67,COD,122479.2,9.00%,Medium Discount,
10161,Myra Handa,West,Pune,West - Pune,Home Decor,Clock,Clock Officia,5,8465,0,42325,8053.7,COD,42325,19.00%,No Discount,
10162,Anvi Mammen,East,Patna,East - Patna,Furniture,Sofa,Sofa Dolor,1,63767,20,51013.6,4109.49,COD,51013.6,8.00%,High Discount,
